jiinf,4
vbch,0
asdds,0
testplqyer,0
,0
pierre,0
dffffffffdlfcldf,0
cvbdhdfa,0
qwerty,8
,12
,13
 ,40
tiphaine,121
Nathan,99999999
Alexis,99999998
,33
,22
,13
test,24
betatest,81
moa,318
agamede,45
w,4
bvgdfx,81
  bqnette,11
bqnette,34
banette,12
  banette,11
banqtte,14
 banette,14
 kjdg,87
 bgvd,54
 d,45
 ch,75
 jnc ,111
 jhzdf,44
fvj,59
jhd,30
jd,59
djhf,168
kl,0
jkl,2
kl;,0
lf;g,0
B2n2,46
bene,25
  g,14
g,29
 asd,13
 lk,11
 klfjf,23
ncbv,17
